dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution_thousand_usd,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_thousand_usd,reconstruction_costs_adjusted_thousand_usd,insured_damages_thousand_usd,insured_damages_adjusted_thousand_usd,total_damages_thousand_usd,total_damages_adjusted_thousand_usd,cpi,adm_level,admin1_code,admin2_code,geo_locations
1906-0023-BEL,1906,0023,,Natural,Hydrological,Flood,,,,Belgium,BEL,Western Europe,Europe,Louvain region,,,,,,,,,Km2,,,,,1906,5,14,1906,5,14,6,,,,,,,,,,,3.3232581812022,,,,
1906-0024-BEL,1906,0024,,Natural,Hydrological,Flood,,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,,Km2,,,,,1906,4,,1906,4,,,,,,,,,,,,,3.3232581812022,,,,
1909-0009-FRA,1909,0009,,Natural,Geophysical,Earthquake,Ground movement,,,France,FRA,Western Europe,Europe,"Lambesc, Saint-Cannat, Rognes, Vernegues, Charleval, La Roque d'Antheron (Haute-Provence)",,,,,,,,6,Richter,44.05,6.14,21:15,,1909,6,11,1909,6,11,46,,,,,,,,,,,3.3232581812022,,,,
1920-0005-DFR,1920,0005,,Natural,Hydrological,Flood,,,,Germany Fed Rep,DFR,Western Europe,Europe,Danube area,,,,,,,,,Km2,,,,,1920,8,,1920,8,,,,,,,,,,,20000,269919,7.4096349077176,,,,
1925-0007-DFR,1925,0007,,Natural,Hydrological,Flood,,,,Germany Fed Rep,DFR,Western Europe,Europe,Rhine area,,,,,,,,,Km2,,,,,1925,12,,1925,12,,,,,,,,,,,19000,292916,6.4865076351614,,,,
1926-0006-DFR,1926,0006,,Natural,Hydrological,Flood,,,,Germany Fed Rep,DFR,Western Europe,Europe,Rhine area,,,,,,,,,Km2,,,,,1926,6,,1926,6,,,,,,,,,,,31000,473423,6.5480494533318,,,,
1926-0020-FRA,1926,0020,,Natural,Hydrological,Landslide,Mudslide,,,France,FRA,Western Europe,Europe,Roquebillière (Alpes-Maritimes),,,,,No,No,,,,,,,,1926,11,24,1926,11,24,28,,,,,,,,,,,6.5480494533318,2,,16321,Alpes-maritimes (Adm2).
1928-0022-BEL,1928,0022,,Natural,Hydrological,Flood,,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,,Km2,,,,,1928,,,1928,,,,,6000,,6000,,,,,,,6.3511156351865,,,,
1929-0002-DFR,1929,0002,,Natural,Meteorological,Storm,Convective storm,Hail,,Germany Fed Rep,DFR,Western Europe,Europe,"Bavaria, Baden-Wurtemberg",,,,,,,,,Kph,,,,,1929,7,,1929,7,,,,,,,,,,,55000,865990,6.3511156351865,,,,
1930-0013-BEL,1930,0013,,Natural,Meteorological,Storm,,,,Belgium,BEL,Western Europe,Europe,Meuse Valley,,,,,No,No,,,Kph,,,,,1930,12,2,1930,12,2,60,,,,,,,,,,,6.1787985443093,,,,
